Producto,Acción general,Clasificación 5.3,Validación,Coherencia 5.3,Corrección 5.3
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en dolor osteomuscular,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ESSENTIAL LIFE x 360 ML,se recomienda evitar en personas con diabetes o resistencia a la insulina marcada,RECOMENDACIÓN / COMPLEMENTO,RESTRICCIÓN,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RESTRICCIÓN
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,MODO DE ACCIÓN: té rojo y té negro con acción estimulante metabólica y apoyo antioxidante (polifenoles),COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO CRANBERRY EXTRACT X 60 CAP,FRASE DE VENTA: 'Protección avanzada para tus vías urinarias y prevención de infecciones recurrentes.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO COLÁGENO MARINO PLUS x 400 GR,Dosis alta de colágeno para soporte estructural de articulaciones,USO / POSOLOGÍA / PRECAUCIÓN,POSOLOGÍA,CORREGIDA,USO / POSOLOGÍA / PRECAUCIÓN → POSOLOGÍA
OREGANO OIL x 150 SOFTGELS,USO TÓPICO: diluido en shampoo o aceite portador para caspa fúngica (no usar puro),RESTRICCIÓN / CONTRAINDICACIÓN,RESTRICCIÓN,CORREGIDA,RESTRICCIÓN / CONTRAINDICACIÓN → RESTRICCIÓN
FITO AMEDANIL x 30 CAP,Apoyo digestivo por acción enzimática,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ANTISAURE X 360 ML,Efecto antiespasmódico intestinal,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,apoyo en oxidación de grasas como coadyuvante dentro de un plan de control de peso,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ESSENTIAL LIFE x 360 ML,Zinc (inmunidad),COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO ESENCIA STRESS x 25 ML,Apoyo en sobrecarga mental y sensación de 'no puedo con todo',ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO TRATAMIENTO FOLISAN x 380 ML,Apoyo en caída leve asociada a fragilidad,RECOMENDACIÓN / COMPLEMENTO,ACCIÓN GENERAL,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN GENERAL
FITO PROPOLFIT x 240 ML,totumo y marañón como apoyo tradicional respiratorio,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO PROPOLFIT x 240 ML,FRASE DE VENTA: 'Protege tu garganta y fortalece defensas desde el primer síntoma.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO SANGRE DE DRAGO X 80 ML,Uso externo en heridas,USO / POSOLOGÍA / PRECAUCIÓN,POSOLOGÍA,CORREGIDA,USO / POSOLOGÍA / PRECAUCIÓN → POSOLOGÍA
FITO EQUINACEA X 100 CAP,FRASE DE VENTA: 'Refuerza tus defensas y apoya tu sistema respiratorio en épocas de gripa y rinitis.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO ESENCIA STRESS x 25 ML,terceros),ACCIÓN GENERAL,NO APLICA,CORREGIDA,ACCIÓN GENERAL → NO APLICA
FITO GREEN FOOD X 200 GR,energiza y fortalece defensas.',ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en relajación muscular y reducción de calambres,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO OSHE-CAL II x 400 GR,vitamina C como apoyo en síntesis de colágeno,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO DESPIGMENTADORA CLYAX x 80 GR,Acción antioxidante,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO DESPIGMENTADORA CLYAX x 80 GR,Colágeno Marino Plus (calidad y firmeza de piel),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO GREEN FOOD X 200 GR,apoyo digestivo (papaya + piña),COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO SAUREMAX x 60 TABLETAS,FRASE DE VENTA: 'Regula el pH y protege la mucosa gástrica con minerales funcionales.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO ARTRIFIT x 30 CAP,Apoyo en dolor e inflamación articular,RECOMENDACIÓN / COMPLEMENTO,ACCIÓN GENERAL,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN GENERAL
FITO GLUCONATO DE ZINC X 100 CAPSULAS,COMBINACIONES: Equinácea (defensas),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO GREEN FOOD X 200 GR,sodio,COMPONENTE + FUNCIÓN,COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → COMPONENTE
FITO DUNPLUS X 60 CAP,COMBINACIONES: Alcachofa (metabolismo hepático/digestión de grasas),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
