Pregunta_ID,Modulo,Tema,Nivel,Tipo_Relacion,Pregunta,Respuesta_1,Respuesta_2,Respuesta_3,Respuesta_4,Respuesta_Correcta,Estado,Fuente_ID,Evaluacion_ID,Estado_Validacion,Estado_Uso
PAT_00082,Patologias,,Nivel 1,Descripcion_Patologia,Una persona presenta la siguiente descripción: Pérdida de densidad o volumen del cabello; puede ser temporal o progresiva según la causa. ¿A cuál de las siguientes patologías corresponde?,Apoyo a la salud reproductiva femenina y planificación del embarazo,Perimenopausia / Menopausia,Caída de cabello (Alopecia),"Dolor muscular, contracturas y molestias musculoesqueléticas localizadas",3,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00087,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Alteraciones de la próstata que pueden afectar la micción, producir inflamación o molestias y, en algunos casos, asociarse con cambios en la función sexual. ¿A cuál de las siguientes patologías corresponde?",Artrosis (desgaste articular / osteoartritis),Fibromialgia,Espolón calcáneo / dolor de talón (fascitis plantar asociada),Salud prostática / Molestias prostáticas,4,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00089,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Dificultad persistente para lograr o mantener una erección suficiente para una relación sexual satisfactoria. Puede estar relacionada con factores físicos, hormonales, circulatorios, prostáticos o emocionales. ¿A cuál de las siguientes patologías corresponde?",Espolón calcáneo / dolor de talón (fascitis plantar asociada),Disfunción sexual masculina / Dificultad para la erección,Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*),Perimenopausia / Menopausia,2,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00094,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Disminución de la energía, la fuerza, el deseo sexual o el rendimiento físico que puede estar relacionada con la edad, el estilo de vida, deficiencias nutricionales o alteraciones hormonales. ¿A cuál de las siguientes patologías corresponde?",Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*),Perimenopausia / Menopausia,Espolón calcáneo / dolor de talón (fascitis plantar asociada),Caída de cabello (Alopecia),1,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,AÚN NO SE UTILIZA,DISPONIBLE
PAT_00100,Patologias,,Nivel 1,Descripcion_Patologia,Una persona presenta la siguiente descripción: Alteración del metabolismo de la glucosa que ocasiona niveles elevados de azúcar en sangre o dificultad para mantenerlos dentro de rangos normales. ¿A cuál de las siguientes patologías corresponde?,Varicocele (Apoyo a la salud vascular y reproductiva masculina),"Dolor muscular, contracturas y molestias musculoesqueléticas localizadas",Artrosis (desgaste articular / osteoartritis),Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),4,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00101,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Etapa de transición hormonal caracterizada por la disminución progresiva de estrógenos, que puede afectar la salud física, emocional, metabólica, ósea, urinaria y sexual de la mujer. ¿A cuál de las siguientes patologías corresponde?",Perimenopausia / Menopausia,Fibromialgia,Disfunción sexual masculina / Dificultad para la erección,Espolón calcáneo / dolor de talón (fascitis plantar asociada),1,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00107,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Dificultad para conciliar el sueño, permanecer dormido o lograr un descanso reparador, afectando el bienestar físico, mental y emocional. ¿A cuál de las siguientes patologías corresponde?",Osteoporosis,"Dolor muscular, contracturas y molestias musculoesqueléticas localizadas",Salud prostática / Molestias prostáticas,Insomnio,4,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00109,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Dilatación anormal de las venas del cordón espermático, generalmente en el lado izquierdo, que puede afectar la circulación testicular y, en algunos casos, la fertilidad, la producción de testosterona o generar molestias locales. ¿A cuál de las siguientes patologías corresponde?",Varicocele (Apoyo a la salud vascular y reproductiva masculina),Osteoporosis,Perimenopausia / Menopausia,Artrosis (desgaste articular / osteoartritis),1,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00115,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Disminución del deseo sexual o alteraciones del bienestar íntimo que pueden afectar la satisfacción durante las relaciones sexuales. Puede estar relacionada con factores hormonales, emocionales, circulatorios, metabólicos o alteraciones de la flora vaginal. ¿A cuál de las siguientes patologías corresponde?",Bienestar íntimo femenino y función sexual,Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),Perimenopausia / Menopausia,Caída de cabello (Alopecia),1,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
PAT_00120,Patologias,,Nivel 1,Descripcion_Patologia,"Una persona presenta la siguiente descripción: Condición en la que uno o varios factores nutricionales, hormonales, metabólicos, emocionales o de estilo de vida pueden disminuir las condiciones óptimas para la concepción. El sistema brinda apoyo nutricional y bienestar reproductivo como complemento y no reemplaza la valoración médica especializada. ¿A cuál de las siguientes patologías corresponde?",Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),Apoyo a la salud reproductiva femenina y planificación del embarazo,Insomnio,Bienestar íntimo femenino y función sexual,2,,,PATOLOGIAS_DESCRIPCION_PATOLOGIA_NIVEL_1_0001,APROBADA,USADA
